,collo-Tang,logDice-Tang,collo-Song,logDice-Song,collo-Yuan,logDice-Yuan,collo-Ming,logDice-Ming,collo-Qing,logDice-Qing,collo-X1980s,logDice-X1980s
1,國,8.61,國,9.40,國,9.10,世,9.84,國,9.07,庭,9.95
2,貧,7.87,傳,7.80,世,7.64,國,9.61,世,7.59,國,9.85
3,出,7.48,世,7.30,人,6.94,忠,8.14,貧,7.35,大,9.42
4,誰,7.30,貧,7.18,其,6.87,恭,7.36,人,7.35,專,8.84
5,世,7.25,邦,7.04,貧,6.86,居,7.06,口,6.93,回,8.46
6,室,7.19,室,7.02,傳,6.81,人,7.02,居,6.82,長,8.25
7,家,6.96,百,6.88,百,6.80,其,6.87,諸,6.79,裡,8.17
8,百,6.93,其,6.75,誰,6.74,高,6.80,其,6.74,學,8.08
9,還,6.88,氏,6.74,還,6.73,誰,6.74,室,6.49,人,8.04
10,人,6.81,人,6.69,諸,6.69,貧,6.72,張,6.34,畫,7.93
11,起,6.81,還,6.68,居,6.67,毅,6.70,誰,6.3,客,7.85
12,邦,6.74,起,6.61,起,6.64,睿,6.66,莊,6.29,作,7.66
13,其,6.60,法,6.59,室,6.54,還,6.65,家,6.28,族,7.55
14,在,6.56,居,6.54,吾,6.53,一,6.53,大,6.28,屬,7.30
15,語,6.54,誰,6.50,法,6.53,室,6.46,我,6.26,公,7.27
