,sense,pos,definition,sent,Tang,Song,Yuan,Ming,Qing,ASBC
0,家\_1,Na,主要以婚姻、血緣關係為基礎所組成，通常包括父母、子女等親屬的社會單位。,僕人問：「我們[家]的鵝，一隻會叫，一隻不會叫，殺哪隻比較好呢？」,5.9,12.0,7.7,12.4,20.7,26.7
1,家\_2,Na,一家人可以居住的建築單位。,布拉格像[家]的旅館，走小而美溫馨路線。,5.3,2.4,5.1,2.9,2.4,1.6
2,家\_3,Nc,一家人居住的建築物及建築物所在的位置。,公公是當時頗有權勢的人，[家]裡布置自然豪華，點心也特別精緻好吃。,13.7,17.1,16.4,17.8,15.1,26.7
3,家\_4,Na,比喻特定生物的原生地。,國王企鵝的[家]在北極喔。,4.9,4.9,4.2,4.6,2.8,3.3
4,家\_5,Na,比喻動物棲息的地方。,台灣首富郭台銘要替流浪狗蓋一個[家]了！,1.1,0.7,0.7,0.3,0.5,0.4
5,家\_6,Na,比喻存放特定物品的專用空間。,最近想幫我的電腦換個[家]，原本的CASE是5年前還不太懂電腦買的雜牌，超重，散熱也不佳。,0.0,0.2,0.1,0.0,0.2,0.5
6,家\_7,Na,在特定領域中擁有前述專業或聲望的人。,他認為宮崎駿更應該說是一位動漫[家]，他在動漫上的成就更甚於漫畫。,2.1,2.3,2.1,2.2,2.2,17.6
7,家\_8,Na,從事前述行業的特定族群。,木和石頭搭建的亭裏，今天又放了皮袍和木柴，想又是樵[家]和獵家送來的東西了。,30.3,24.0,33.8,27.2,24.8,3.7
8,家\_9,Na,團體中因理念相同或風格相近而形成的小團體。,每一[家]的拳法皆不相同，走步也不相同，好像基本的馬步是一定有的。,23.1,22.6,16.8,17.6,15.5,2.5
9,家\_10,Na,企業品牌的專用名稱。,看了這麼多介紹，品牌繁雜，到底哪一[家]的好用？,0.0,0.0,0.0,0.0,0.0,0.7
10,家\_11,Na,公司行號或商店。,這[家]真的很好吃耶！可是，新竹好像好店都不長留，爛店遺千年？,0.6,0.6,0.5,0.9,0.7,2.2
11,家\_12,Nf,計算公司行號或商店的單位。,他看準新總統上任後，經濟會變好，近期準備再開第五[家]店。,0.0,0.0,0.1,0.0,0.2,7.0
12,家\_13,Na,特定事件中地位相當的參與者。,在遊戲中除了盡量讓自己的出牌順利外，也同時要想辦法阻礙其他三[家]的出牌。,1.2,0.6,0.3,0.5,0.2,0.6
13,家\_14,Na,民族。,此次造訪台中科學博物館，發現中庭的地方，擺了這麼一座真實的「雲南苗[家]吊腳樓」。,2.3,4.3,4.8,2.7,3.1,2.3
14,家\_15,A,形容被人飼養的。,如果您願意支持我，您也可以幫助這些貓咪，讓牠們成為有人疼的[家]貓。,0.4,0.3,0.3,0.6,0.2,0.8
15,家\_16,Nep,代指說話者的長輩或同輩親屬。,到那裡已經是中午了，未及開口，[家]叔就邀我們一起出去吃飯。,9.0,7.8,6.9,9.6,10.5,2.8
16,家\_17,Na,屬於前述年齡層或性別的人。,妳是個女孩[家]，要有羞恥心，不要一直常常主動去找他。,0.1,0.2,0.2,0.7,0.9,0.6
